Key,incident_nb,DateTime_Out
Caserne 09 Grid4_2,3,2015-08-01
Caserne 09 Grid4_2,1,2015-09-01
Caserne 09 Grid4_2,2,2015-10-01
Caserne 09 Grid4_2,1,2015-11-01
Caserne 09 Grid4_2,3,2015-12-01
Caserne 09 Grid4_2,3,2016-01-01
Caserne 09 Grid4_2,2,2016-02-01
Caserne 09 Grid4_2,2,2016-03-01
Caserne 09 Grid4_2,2,2016-04-01
Caserne 09 Grid4_2,5,2016-05-01
Caserne 09 Grid4_2,6,2016-06-01
Caserne 09 Grid4_2,5,2016-07-01
Caserne 09 Grid4_2,2,2016-08-01
Caserne 09 Grid4_2,3,2016-09-01
Caserne 09 Grid4_2,2,2016-10-01
Caserne 09 Grid4_2,2,2016-11-01
Caserne 09 Grid4_2,6,2016-12-01
Caserne 09 Grid4_2,1,2017-01-01
Caserne 09 Grid4_2,2,2017-02-01
Caserne 09 Grid4_2,6,2017-03-01
Caserne 09 Grid4_2,4,2017-04-01
Caserne 09 Grid4_2,1,2017-05-01
Caserne 09 Grid4_2,4,2017-06-01
Caserne 09 Grid4_2,1,2017-07-01
Caserne 09 Grid4_2,4,2017-08-01
Caserne 09 Grid4_2,5,2017-09-01
Caserne 09 Grid4_2,2,2017-10-01
Caserne 09 Grid4_2,5,2017-11-01
Caserne 09 Grid4_2,5,2017-12-01
Caserne 09 Grid4_2,1,2018-01-01
Caserne 09 Grid4_2,3,2018-02-01
Caserne 09 Grid4_2,2,2018-03-01
Caserne 09 Grid4_2,6,2018-04-01
Caserne 09 Grid4_2,1,2018-05-01
Caserne 09 Grid4_2,1,2018-06-01
Caserne 09 Grid4_2,4,2018-07-01
Caserne 09 Grid4_2,2,2018-08-01
Caserne 09 Grid4_2,4,2018-09-01
Caserne 09 Grid4_2,1,2018-10-01
Caserne 09 Grid4_2,4,2018-11-01
Caserne 09 Grid4_2,3,2018-12-01
Caserne 09 Grid4_2,2,2019-02-01
Caserne 09 Grid4_2,5,2019-03-01
Caserne 09 Grid4_2,2,2019-04-01
Caserne 09 Grid4_2,2,2019-05-01
Caserne 09 Grid4_2,3,2019-06-01
Caserne 09 Grid4_2,4,2019-07-01
Caserne 09 Grid4_2,10,2019-08-01
Caserne 09 Grid4_2,4,2019-09-01
Caserne 09 Grid4_2,7,2019-10-01
Caserne 09 Grid4_2,1,2019-11-01
Caserne 09 Grid4_2,2,2020-01-01
Caserne 09 Grid4_2,2,2020-02-01
Caserne 09 Grid4_2,2,2020-03-01
Caserne 09 Grid4_2,1,2020-04-01
Caserne 09 Grid4_2,3,2020-05-01
Caserne 09 Grid4_2,2,2020-06-01
Caserne 09 Grid4_2,2,2020-08-01
Caserne 09 Grid4_2,3,2020-09-01
Caserne 09 Grid4_2,1,2020-10-01
Caserne 09 Grid4_2,2,2020-11-01
Caserne 09 Grid4_2,2,2020-12-01
Caserne 09 Grid4_2,1,2021-01-01
Caserne 09 Grid4_2,2,2021-02-01
Caserne 09 Grid4_2,2,2021-04-01
Caserne 09 Grid4_2,1,2021-05-01
Caserne 09 Grid4_2,4,2021-06-01
Caserne 09 Grid4_2,3,2021-07-01
Caserne 09 Grid4_2,4,2021-08-01
Caserne 09 Grid4_2,2,2021-09-01
Caserne 09 Grid4_2,1,2021-10-01
Caserne 09 Grid4_2,1,2021-11-01
Caserne 09 Grid4_2,2,2021-12-01
Caserne 09 Grid4_2,2,2022-01-01
Caserne 09 Grid4_2,1,2022-02-01
Caserne 09 Grid4_2,4,2022-03-01
Caserne 09 Grid4_2,2,2022-04-01
Caserne 09 Grid4_2,2,2022-05-01
Caserne 09 Grid4_3,1,2020-07-01
Caserne 09 Grid4_3,1,2021-08-01
Caserne 10 Grid0_0,1,2015-08-01
Caserne 10 Grid0_0,1,2015-09-01
Caserne 10 Grid0_0,1,2015-10-01
Caserne 10 Grid0_0,1,2016-01-01
Caserne 10 Grid0_0,1,2016-02-01
Caserne 10 Grid0_0,1,2016-04-01
Caserne 10 Grid0_0,1,2016-07-01
Caserne 10 Grid0_0,1,2016-10-01
Caserne 10 Grid0_0,1,2017-05-01
Caserne 10 Grid0_0,1,2017-06-01
Caserne 10 Grid0_0,1,2017-08-01
Caserne 10 Grid0_0,1,2018-01-01
Caserne 10 Grid0_0,1,2018-05-01
Caserne 10 Grid0_0,1,2018-08-01
Caserne 10 Grid0_0,1,2019-08-01
Caserne 10 Grid0_0,1,2021-05-01
Caserne 10 Grid0_1,3,2015-01-01
Caserne 10 Grid0_1,1,2015-03-01
Caserne 10 Grid0_1,2,2015-04-01
Caserne 10 Grid0_1,2,2015-05-01
Caserne 10 Grid0_1,2,2015-07-01
Caserne 10 Grid0_1,5,2015-08-01
Caserne 10 Grid0_1,2,2015-09-01
Caserne 10 Grid0_1,7,2015-10-01
Caserne 10 Grid0_1,1,2015-11-01
Caserne 10 Grid0_1,2,2015-12-01
Caserne 10 Grid0_1,1,2016-01-01
Caserne 10 Grid0_1,2,2016-02-01
Caserne 10 Grid0_1,2,2016-04-01
Caserne 10 Grid0_1,4,2016-05-01
Caserne 10 Grid0_1,2,2016-06-01
Caserne 10 Grid0_1,3,2016-07-01
Caserne 10 Grid0_1,4,2016-08-01
Caserne 10 Grid0_1,4,2016-09-01
Caserne 10 Grid0_1,1,2016-10-01
Caserne 10 Grid0_1,6,2016-12-01
Caserne 10 Grid0_1,1,2017-01-01
Caserne 10 Grid0_1,1,2017-02-01
Caserne 10 Grid0_1,1,2017-03-01
Caserne 10 Grid0_1,1,2017-04-01
Caserne 10 Grid0_1,2,2017-05-01
Caserne 10 Grid0_1,1,2017-06-01
Caserne 10 Grid0_1,6,2017-07-01
Caserne 10 Grid0_1,8,2017-08-01
Caserne 10 Grid0_1,2,2017-09-01
Caserne 10 Grid0_1,2,2017-10-01
Caserne 10 Grid0_1,1,2017-11-01
Caserne 10 Grid0_1,1,2018-01-01
Caserne 10 Grid0_1,1,2018-02-01
Caserne 10 Grid0_1,4,2018-03-01
Caserne 10 Grid0_1,2,2018-04-01
Caserne 10 Grid0_1,1,2018-05-01
Caserne 10 Grid0_1,2,2018-06-01
Caserne 10 Grid0_1,6,2018-07-01
Caserne 10 Grid0_1,6,2018-08-01
Caserne 10 Grid0_1,5,2018-09-01
Caserne 10 Grid0_1,2,2018-10-01
Caserne 10 Grid0_1,1,2018-11-01
Caserne 10 Grid0_1,2,2019-01-01
Caserne 10 Grid0_1,3,2019-02-01
Caserne 10 Grid0_1,1,2019-03-01
Caserne 10 Grid0_1,1,2019-04-01
Caserne 10 Grid0_1,2,2019-05-01
Caserne 10 Grid0_1,1,2019-06-01
Caserne 10 Grid0_1,4,2019-07-01
Caserne 10 Grid0_1,1,2019-08-01
Caserne 10 Grid0_1,4,2019-09-01
Caserne 10 Grid0_1,1,2019-10-01
Caserne 10 Grid0_1,2,2019-11-01
Caserne 10 Grid0_1,3,2019-12-01
Caserne 10 Grid0_1,5,2020-01-01
Caserne 10 Grid0_1,1,2020-02-01
Caserne 10 Grid0_1,1,2020-03-01
Caserne 10 Grid0_1,6,2020-06-01
Caserne 10 Grid0_1,5,2020-07-01
Caserne 10 Grid0_1,1,2020-08-01
Caserne 10 Grid0_1,1,2020-09-01
Caserne 10 Grid0_1,2,2020-11-01
Caserne 10 Grid0_1,1,2020-12-01
Caserne 10 Grid0_1,2,2021-01-01
Caserne 10 Grid0_1,2,2021-03-01
Caserne 10 Grid0_1,4,2021-04-01
Caserne 10 Grid0_1,3,2021-06-01
Caserne 10 Grid0_1,2,2021-12-01
Caserne 10 Grid0_1,1,2022-01-01
Caserne 10 Grid0_1,1,2022-02-01
Caserne 10 Grid0_1,1,2022-03-01
Caserne 10 Grid0_1,1,2022-05-01
Caserne 10 Grid1_0,1,2015-01-01
Caserne 10 Grid1_0,1,2015-03-01
Caserne 10 Grid1_0,2,2015-04-01
Caserne 10 Grid1_0,2,2015-05-01
Caserne 10 Grid1_0,1,2015-06-01
Caserne 10 Grid1_0,1,2015-09-01
Caserne 10 Grid1_0,2,2015-10-01
Caserne 10 Grid1_0,4,2015-11-01
Caserne 10 Grid1_0,3,2015-12-01
Caserne 10 Grid1_0,2,2016-01-01
Caserne 10 Grid1_0,3,2016-02-01
Caserne 10 Grid1_0,2,2016-03-01
Caserne 10 Grid1_0,1,2016-04-01
Caserne 10 Grid1_0,3,2016-05-01
Caserne 10 Grid1_0,2,2016-06-01
Caserne 10 Grid1_0,2,2016-07-01
Caserne 10 Grid1_0,1,2016-08-01
Caserne 10 Grid1_0,4,2016-11-01
Caserne 10 Grid1_0,1,2016-12-01
Caserne 10 Grid1_0,3,2017-01-01
Caserne 10 Grid1_0,3,2017-02-01
Caserne 10 Grid1_0,1,2017-05-01
Caserne 10 Grid1_0,1,2017-07-01
Caserne 10 Grid1_0,2,2017-08-01
Caserne 10 Grid1_0,2,2017-09-01
Caserne 10 Grid1_0,2,2017-11-01
Caserne 10 Grid1_0,2,2017-12-01
Caserne 10 Grid1_0,1,2018-03-01
Caserne 10 Grid1_0,2,2018-04-01
Caserne 10 Grid1_0,1,2018-05-01
Caserne 10 Grid1_0,1,2018-06-01
Caserne 10 Grid1_0,4,2018-07-01
Caserne 10 Grid1_0,2,2018-08-01
Caserne 10 Grid1_0,1,2018-10-01
Caserne 10 Grid1_0,1,2018-11-01
Caserne 10 Grid1_0,2,2018-12-01
Caserne 10 Grid1_0,1,2019-01-01
Caserne 10 Grid1_0,2,2019-02-01
Caserne 10 Grid1_0,1,2019-03-01
Caserne 10 Grid1_0,2,2019-04-01
Caserne 10 Grid1_0,2,2019-05-01
Caserne 10 Grid1_0,3,2019-06-01
Caserne 10 Grid1_0,2,2019-08-01
Caserne 10 Grid1_0,2,2019-12-01
Caserne 10 Grid1_0,2,2020-01-01
Caserne 10 Grid1_0,1,2020-02-01
Caserne 10 Grid1_0,2,2020-03-01
Caserne 10 Grid1_0,3,2020-05-01
Caserne 10 Grid1_0,3,2020-06-01
Caserne 10 Grid1_0,2,2020-07-01
Caserne 10 Grid1_0,3,2020-08-01
Caserne 10 Grid1_0,1,2020-09-01
Caserne 10 Grid1_0,2,2020-10-01
Caserne 10 Grid1_0,2,2020-12-01
Caserne 10 Grid1_0,1,2021-01-01
Caserne 10 Grid1_0,1,2021-02-01
Caserne 10 Grid1_0,1,2021-03-01
Caserne 10 Grid1_0,1,2021-04-01
Caserne 10 Grid1_0,1,2021-05-01
Caserne 10 Grid1_0,2,2021-06-01
Caserne 10 Grid1_0,1,2021-07-01
Caserne 10 Grid1_0,1,2021-08-01
Caserne 10 Grid1_0,5,2021-10-01
Caserne 10 Grid1_0,1,2021-11-01
Caserne 10 Grid1_0,1,2021-12-01
Caserne 10 Grid1_0,4,2022-01-01
Caserne 10 Grid1_0,2,2022-02-01
Caserne 10 Grid1_0,4,2022-03-01
Caserne 10 Grid1_0,1,2022-04-01
Caserne 10 Grid1_0,4,2022-05-01
Caserne 10 Grid1_0,3,2022-06-01
Caserne 10 Grid1_1,15,2015-01-01
Caserne 10 Grid1_1,13,2015-02-01
Caserne 10 Grid1_1,12,2015-03-01
Caserne 10 Grid1_1,14,2015-04-01
Caserne 10 Grid1_1,13,2015-05-01
Caserne 10 Grid1_1,16,2015-06-01
Caserne 10 Grid1_1,20,2015-07-01
Caserne 10 Grid1_1,13,2015-08-01
Caserne 10 Grid1_1,3,2015-09-01
Caserne 10 Grid1_1,11,2015-10-01
Caserne 10 Grid1_1,11,2015-11-01
Caserne 10 Grid1_1,7,2015-12-01
Caserne 10 Grid1_1,7,2016-01-01
Caserne 10 Grid1_1,15,2016-02-01
Caserne 10 Grid1_1,15,2016-03-01
Caserne 10 Grid1_1,12,2016-04-01
Caserne 10 Grid1_1,27,2016-05-01
Caserne 10 Grid1_1,10,2016-06-01
Caserne 10 Grid1_1,8,2016-07-01
Caserne 10 Grid1_1,11,2016-08-01
Caserne 10 Grid1_1,10,2016-09-01
Caserne 10 Grid1_1,26,2016-10-01
Caserne 10 Grid1_1,11,2016-11-01
Caserne 10 Grid1_1,15,2016-12-01
Caserne 10 Grid1_1,10,2017-01-01
Caserne 10 Grid1_1,11,2017-02-01
Caserne 10 Grid1_1,13,2017-03-01
Caserne 10 Grid1_1,13,2017-04-01
Caserne 10 Grid1_1,18,2017-05-01
Caserne 10 Grid1_1,23,2017-06-01
Caserne 10 Grid1_1,16,2017-07-01
Caserne 10 Grid1_1,19,2017-08-01
Caserne 10 Grid1_1,17,2017-09-01
Caserne 10 Grid1_1,17,2017-10-01
Caserne 10 Grid1_1,15,2017-11-01
Caserne 10 Grid1_1,26,2017-12-01
Caserne 10 Grid1_1,24,2018-01-01
Caserne 10 Grid1_1,10,2018-02-01
Caserne 10 Grid1_1,20,2018-03-01
Caserne 10 Grid1_1,16,2018-04-01
Caserne 10 Grid1_1,33,2018-05-01
Caserne 10 Grid1_1,15,2018-06-01
Caserne 10 Grid1_1,15,2018-07-01
Caserne 10 Grid1_1,28,2018-08-01
Caserne 10 Grid1_1,15,2018-09-01
Caserne 10 Grid1_1,23,2018-10-01
Caserne 10 Grid1_1,12,2018-11-01
Caserne 10 Grid1_1,17,2018-12-01
Caserne 10 Grid1_1,14,2019-01-01
Caserne 10 Grid1_1,18,2019-02-01
Caserne 10 Grid1_1,24,2019-03-01
Caserne 10 Grid1_1,13,2019-04-01
Caserne 10 Grid1_1,13,2019-05-01
Caserne 10 Grid1_1,21,2019-06-01
Caserne 10 Grid1_1,12,2019-07-01
Caserne 10 Grid1_1,17,2019-08-01
Caserne 10 Grid1_1,23,2019-09-01
Caserne 10 Grid1_1,13,2019-10-01
Caserne 10 Grid1_1,22,2019-11-01
Caserne 10 Grid1_1,11,2019-12-01
Caserne 10 Grid1_1,15,2020-01-01
Caserne 10 Grid1_1,16,2020-02-01
Caserne 10 Grid1_1,9,2020-03-01
Caserne 10 Grid1_1,9,2020-04-01
Caserne 10 Grid1_1,14,2020-05-01
Caserne 10 Grid1_1,18,2020-06-01
Caserne 10 Grid1_1,15,2020-07-01
Caserne 10 Grid1_1,15,2020-08-01
Caserne 10 Grid1_1,18,2020-09-01
Caserne 10 Grid1_1,19,2020-10-01
Caserne 10 Grid1_1,15,2020-11-01
Caserne 10 Grid1_1,14,2020-12-01
Caserne 10 Grid1_1,15,2021-01-01
Caserne 10 Grid1_1,9,2021-02-01
Caserne 10 Grid1_1,14,2021-03-01
Caserne 10 Grid1_1,9,2021-04-01
Caserne 10 Grid1_1,15,2021-05-01
Caserne 10 Grid1_1,16,2021-06-01
Caserne 10 Grid1_1,17,2021-07-01
Caserne 10 Grid1_1,18,2021-08-01
Caserne 10 Grid1_1,15,2021-09-01
Caserne 10 Grid1_1,19,2021-10-01
Caserne 10 Grid1_1,15,2021-11-01
Caserne 10 Grid1_1,13,2021-12-01
Caserne 10 Grid1_1,15,2022-01-01
Caserne 10 Grid1_1,14,2022-02-01
Caserne 10 Grid1_1,16,2022-03-01
Caserne 10 Grid1_1,22,2022-04-01
Caserne 10 Grid1_1,14,2022-05-01
Caserne 10 Grid1_1,12,2022-06-01
Caserne 10 Grid1_2,1,2015-01-01
Caserne 10 Grid1_2,1,2015-03-01
Caserne 10 Grid1_2,1,2015-05-01
Caserne 10 Grid1_2,1,2015-06-01
Caserne 10 Grid1_2,1,2015-07-01
Caserne 10 Grid1_2,1,2016-03-01
Caserne 10 Grid1_2,1,2016-07-01
Caserne 10 Grid1_2,1,2016-10-01
Caserne 10 Grid1_2,1,2016-11-01
Caserne 10 Grid1_2,3,2017-02-01
Caserne 10 Grid1_2,2,2017-03-01
Caserne 10 Grid1_2,3,2017-04-01
Caserne 10 Grid1_2,1,2017-05-01
Caserne 10 Grid1_2,1,2017-06-01
Caserne 10 Grid1_2,1,2017-09-01
Caserne 10 Grid1_2,1,2017-10-01
Caserne 10 Grid1_2,1,2018-05-01
Caserne 10 Grid1_2,1,2020-03-01
Caserne 10 Grid1_2,1,2020-04-01
Caserne 10 Grid1_2,1,2020-08-01
Caserne 10 Grid1_2,1,2020-11-01
Caserne 10 Grid1_2,1,2021-01-01
Caserne 10 Grid1_2,1,2021-04-01
Caserne 10 Grid1_2,1,2021-05-01
Caserne 10 Grid1_2,1,2022-02-01
Caserne 10 Grid1_2,2,2022-05-01
Caserne 10 Grid1_2,1,2022-06-01
Caserne 10 Grid2_0,1,2015-12-01
Caserne 10 Grid2_0,1,2016-07-01
Caserne 10 Grid2_0,2,2016-08-01
Caserne 10 Grid2_0,1,2017-05-01
Caserne 10 Grid2_0,1,2018-03-01
Caserne 10 Grid2_0,1,2019-05-01
Caserne 10 Grid2_0,1,2021-06-01
Caserne 10 Grid2_0,1,2021-07-01
Caserne 10 Grid2_0,1,2021-08-01
Caserne 10 Grid2_0,1,2022-02-01
Caserne 10 Grid2_1,19,2015-01-01
Caserne 10 Grid2_1,19,2015-02-01
Caserne 10 Grid2_1,13,2015-03-01
Caserne 10 Grid2_1,14,2015-04-01
Caserne 10 Grid2_1,13,2015-05-01
Caserne 10 Grid2_1,12,2015-06-01
Caserne 10 Grid2_1,7,2015-07-01
Caserne 10 Grid2_1,8,2015-08-01
Caserne 10 Grid2_1,11,2015-09-01
Caserne 10 Grid2_1,11,2015-10-01
Caserne 10 Grid2_1,12,2015-11-01
Caserne 10 Grid2_1,10,2015-12-01
Caserne 10 Grid2_1,18,2016-01-01
Caserne 10 Grid2_1,16,2016-02-01
Caserne 10 Grid2_1,15,2016-03-01
Caserne 10 Grid2_1,10,2016-04-01
Caserne 10 Grid2_1,7,2016-05-01
Caserne 10 Grid2_1,7,2016-06-01
Caserne 10 Grid2_1,14,2016-07-01
Caserne 10 Grid2_1,18,2016-08-01
Caserne 10 Grid2_1,8,2016-09-01
Caserne 10 Grid2_1,15,2016-10-01
Caserne 10 Grid2_1,8,2016-11-01
Caserne 10 Grid2_1,16,2016-12-01
Caserne 10 Grid2_1,10,2017-01-01
Caserne 10 Grid2_1,13,2017-02-01
Caserne 10 Grid2_1,17,2017-03-01
Caserne 10 Grid2_1,10,2017-04-01
Caserne 10 Grid2_1,13,2017-05-01
Caserne 10 Grid2_1,9,2017-06-01
Caserne 10 Grid2_1,13,2017-07-01
Caserne 10 Grid2_1,14,2017-08-01
Caserne 10 Grid2_1,24,2017-09-01
Caserne 10 Grid2_1,18,2017-10-01
Caserne 10 Grid2_1,21,2017-11-01
Caserne 10 Grid2_1,35,2017-12-01
Caserne 10 Grid2_1,24,2018-01-01
Caserne 10 Grid2_1,21,2018-02-01
Caserne 10 Grid2_1,19,2018-03-01
Caserne 10 Grid2_1,18,2018-04-01
Caserne 10 Grid2_1,13,2018-05-01
Caserne 10 Grid2_1,12,2018-06-01
Caserne 10 Grid2_1,19,2018-07-01
Caserne 10 Grid2_1,20,2018-08-01
Caserne 10 Grid2_1,35,2018-09-01
Caserne 10 Grid2_1,24,2018-10-01
Caserne 10 Grid2_1,24,2018-11-01
Caserne 10 Grid2_1,11,2018-12-01
Caserne 10 Grid2_1,27,2019-01-01
Caserne 10 Grid2_1,25,2019-02-01
Caserne 10 Grid2_1,23,2019-03-01
Caserne 10 Grid2_1,18,2019-04-01
Caserne 10 Grid2_1,12,2019-05-01
Caserne 10 Grid2_1,21,2019-06-01
Caserne 10 Grid2_1,14,2019-07-01
Caserne 10 Grid2_1,21,2019-08-01
Caserne 10 Grid2_1,19,2019-09-01
Caserne 10 Grid2_1,17,2019-10-01
Caserne 10 Grid2_1,18,2019-11-01
Caserne 10 Grid2_1,19,2019-12-01
Caserne 10 Grid2_1,15,2020-01-01
Caserne 10 Grid2_1,25,2020-02-01
Caserne 10 Grid2_1,23,2020-03-01
Caserne 10 Grid2_1,6,2020-04-01
Caserne 10 Grid2_1,17,2020-05-01
Caserne 10 Grid2_1,16,2020-06-01
Caserne 10 Grid2_1,20,2020-07-01
Caserne 10 Grid2_1,15,2020-08-01
Caserne 10 Grid2_1,15,2020-09-01
Caserne 10 Grid2_1,28,2020-10-01
Caserne 10 Grid2_1,7,2020-11-01
Caserne 10 Grid2_1,16,2020-12-01
Caserne 10 Grid2_1,17,2021-01-01
Caserne 10 Grid2_1,14,2021-02-01
Caserne 10 Grid2_1,15,2021-03-01
Caserne 10 Grid2_1,15,2021-04-01
Caserne 10 Grid2_1,19,2021-05-01
Caserne 10 Grid2_1,16,2021-06-01
Caserne 10 Grid2_1,10,2021-07-01
Caserne 10 Grid2_1,21,2021-08-01
Caserne 10 Grid2_1,17,2021-09-01
Caserne 10 Grid2_1,16,2021-10-01
Caserne 10 Grid2_1,15,2021-11-01
Caserne 10 Grid2_1,14,2021-12-01
Caserne 10 Grid2_1,18,2022-01-01
Caserne 10 Grid2_1,11,2022-02-01
Caserne 10 Grid2_1,21,2022-03-01
Caserne 10 Grid2_1,18,2022-04-01
Caserne 10 Grid2_1,24,2022-05-01
Caserne 10 Grid2_1,9,2022-06-01
Caserne 10 Grid2_2,1,2015-06-01
Caserne 10 Grid2_2,1,2015-07-01
Caserne 10 Grid2_2,1,2016-05-01
Caserne 10 Grid2_2,1,2016-07-01
Caserne 10 Grid2_2,2,2016-10-01
Caserne 10 Grid2_2,1,2016-11-01
Caserne 10 Grid2_2,1,2017-02-01
Caserne 10 Grid2_2,1,2017-10-01
Caserne 10 Grid2_2,1,2019-01-01
Caserne 10 Grid2_2,1,2019-05-01
Caserne 10 Grid2_2,1,2020-07-01
Caserne 10 Grid2_2,1,2020-09-01
Caserne 10 Grid2_2,1,2022-04-01
Caserne 13 Grid0_0,2,2015-02-01
Caserne 13 Grid0_0,1,2015-06-01
Caserne 13 Grid0_0,1,2015-11-01
Caserne 13 Grid0_0,1,2016-01-01
Caserne 13 Grid0_0,1,2016-02-01
Caserne 13 Grid0_0,1,2016-03-01
Caserne 13 Grid0_0,1,2016-04-01
Caserne 13 Grid0_0,4,2016-05-01
Caserne 13 Grid0_0,2,2016-06-01
Caserne 13 Grid0_0,1,2017-09-01
Caserne 13 Grid0_0,3,2018-01-01
Caserne 13 Grid0_0,1,2018-03-01
Caserne 13 Grid0_0,1,2018-08-01
Caserne 13 Grid0_0,1,2018-09-01
Caserne 13 Grid0_0,1,2018-10-01
Caserne 13 Grid0_0,1,2018-11-01
Caserne 13 Grid0_0,1,2019-01-01
Caserne 13 Grid0_0,1,2019-08-01
Caserne 13 Grid0_0,1,2019-11-01
Caserne 13 Grid0_0,1,2020-01-01
Caserne 13 Grid0_0,1,2020-02-01
Caserne 13 Grid0_0,2,2020-05-01
Caserne 13 Grid0_0,1,2020-07-01
Caserne 13 Grid0_0,1,2021-03-01
Caserne 13 Grid0_0,1,2021-05-01
Caserne 13 Grid0_0,1,2021-06-01
Caserne 13 Grid0_0,1,2021-07-01
Caserne 13 Grid0_0,1,2021-10-01
Caserne 13 Grid0_0,1,2021-12-01
Caserne 13 Grid0_1,7,2015-01-01
Caserne 13 Grid0_1,10,2015-02-01
Caserne 13 Grid0_1,2,2015-03-01
Caserne 13 Grid0_1,3,2015-04-01
Caserne 13 Grid0_1,8,2015-05-01
Caserne 13 Grid0_1,6,2015-06-01
Caserne 13 Grid0_1,5,2015-07-01
Caserne 13 Grid0_1,6,2015-08-01
Caserne 13 Grid0_1,15,2015-09-01
Caserne 13 Grid0_1,12,2015-10-01
Caserne 13 Grid0_1,8,2015-11-01
Caserne 13 Grid0_1,4,2015-12-01
Caserne 13 Grid0_1,3,2016-01-01
Caserne 13 Grid0_1,7,2016-02-01
Caserne 13 Grid0_1,9,2016-03-01
Caserne 13 Grid0_1,5,2016-04-01
Caserne 13 Grid0_1,3,2016-05-01
Caserne 13 Grid0_1,4,2016-06-01
Caserne 13 Grid0_1,6,2016-07-01
Caserne 13 Grid0_1,5,2016-08-01
Caserne 13 Grid0_1,7,2016-09-01
Caserne 13 Grid0_1,2,2016-10-01
Caserne 13 Grid0_1,7,2016-11-01
Caserne 13 Grid0_1,1,2016-12-01
Caserne 13 Grid0_1,3,2017-01-01
Caserne 13 Grid0_1,5,2017-02-01
Caserne 13 Grid0_1,9,2017-03-01
Caserne 13 Grid0_1,6,2017-04-01
Caserne 13 Grid0_1,9,2017-05-01
Caserne 13 Grid0_1,3,2017-06-01
Caserne 13 Grid0_1,6,2017-07-01
Caserne 13 Grid0_1,10,2017-08-01
Caserne 13 Grid0_1,9,2017-09-01
Caserne 13 Grid0_1,6,2017-10-01
Caserne 13 Grid0_1,5,2017-11-01
Caserne 13 Grid0_1,4,2017-12-01
Caserne 13 Grid0_1,8,2018-01-01
Caserne 13 Grid0_1,2,2018-02-01
Caserne 13 Grid0_1,2,2018-03-01
Caserne 13 Grid0_1,8,2018-04-01
Caserne 13 Grid0_1,12,2018-05-01
Caserne 13 Grid0_1,5,2018-06-01
Caserne 13 Grid0_1,8,2018-07-01
Caserne 13 Grid0_1,5,2018-08-01
Caserne 13 Grid0_1,9,2018-09-01
Caserne 13 Grid0_1,10,2018-10-01
Caserne 13 Grid0_1,7,2018-11-01
Caserne 13 Grid0_1,11,2018-12-01
Caserne 13 Grid0_1,5,2019-01-01
Caserne 13 Grid0_1,3,2019-02-01
Caserne 13 Grid0_1,5,2019-03-01
Caserne 13 Grid0_1,4,2019-05-01
Caserne 13 Grid0_1,9,2019-06-01
Caserne 13 Grid0_1,6,2019-07-01
Caserne 13 Grid0_1,9,2019-08-01
Caserne 13 Grid0_1,4,2019-09-01
Caserne 13 Grid0_1,4,2019-10-01
Caserne 13 Grid0_1,3,2019-11-01
Caserne 13 Grid0_1,5,2019-12-01
Caserne 13 Grid0_1,2,2020-01-01
Caserne 13 Grid0_1,5,2020-02-01
Caserne 13 Grid0_1,7,2020-03-01
Caserne 13 Grid0_1,5,2020-04-01
Caserne 13 Grid0_1,14,2020-05-01
Caserne 13 Grid0_1,7,2020-06-01
Caserne 13 Grid0_1,12,2020-07-01
Caserne 13 Grid0_1,6,2020-08-01
Caserne 13 Grid0_1,8,2020-09-01
Caserne 13 Grid0_1,5,2020-10-01
Caserne 13 Grid0_1,9,2020-11-01
Caserne 13 Grid0_1,6,2020-12-01
Caserne 13 Grid0_1,6,2021-01-01
Caserne 13 Grid0_1,4,2021-02-01
Caserne 13 Grid0_1,4,2021-03-01
Caserne 13 Grid0_1,3,2021-04-01
Caserne 13 Grid0_1,2,2021-05-01
Caserne 13 Grid0_1,8,2021-06-01
Caserne 13 Grid0_1,6,2021-07-01
Caserne 13 Grid0_1,8,2021-08-01
Caserne 13 Grid0_1,7,2021-09-01
Caserne 13 Grid0_1,7,2021-10-01
Caserne 13 Grid0_1,3,2021-11-01
Caserne 13 Grid0_1,5,2021-12-01
Caserne 13 Grid0_1,8,2022-01-01
Caserne 13 Grid0_1,3,2022-02-01
Caserne 13 Grid0_1,3,2022-03-01
Caserne 13 Grid0_1,4,2022-04-01
Caserne 13 Grid0_1,8,2022-05-01
Caserne 13 Grid0_1,2,2022-06-01
Caserne 13 Grid0_2,1,2015-05-01
Caserne 13 Grid0_2,1,2017-01-01
Caserne 13 Grid0_2,1,2017-08-01
Caserne 13 Grid0_2,1,2019-08-01
Caserne 13 Grid0_2,1,2019-09-01
Caserne 13 Grid0_2,1,2021-10-01
Caserne 13 Grid1_0,3,2015-01-01
Caserne 13 Grid1_0,4,2015-02-01
Caserne 13 Grid1_0,3,2015-03-01
Caserne 13 Grid1_0,4,2015-04-01
Caserne 13 Grid1_0,7,2015-05-01
Caserne 13 Grid1_0,3,2015-06-01
Caserne 13 Grid1_0,5,2015-07-01
Caserne 13 Grid1_0,3,2015-08-01
Caserne 13 Grid1_0,9,2015-09-01
Caserne 13 Grid1_0,5,2015-10-01
Caserne 13 Grid1_0,6,2015-11-01
Caserne 13 Grid1_0,6,2015-12-01
Caserne 13 Grid1_0,2,2016-01-01
Caserne 13 Grid1_0,3,2016-02-01
